Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,1525.000000,1532.300049,1491.800049,1508.300049,1491.418701,3779948
2021-03-10,1523.000000,1534.750000,1507.500000,1524.199951,1507.140747,2210547
2021-03-12,1526.300049,1565.000000,1503.150024,1514.000000,1497.054932,4885349
2021-03-15,1520.000000,1528.099976,1463.300049,1483.750000,1467.143433,3181450
2021-03-16,1488.300049,1497.000000,1457.000000,1461.800049,1445.439209,3233903
2021-03-17,1476.000000,1492.949951,1431.750000,1437.650024,1421.559448,5178384
2021-03-18,1455.550049,1469.699951,1420.000000,1428.099976,1412.116333,3381940
2021-03-19,1415.000000,1421.849976,1378.599976,1411.250000,1395.454956,9920812
2021-03-22,1409.000000,1417.400024,1392.250000,1400.050049,1384.380371,2964175
2021-03-23,1401.900024,1416.500000,1398.099976,1404.349976,1388.632080,2564844
2021-03-24,1400.000000,1407.000000,1360.050049,1369.150024,1353.826172,4237815
2021-03-25,1361.000000,1389.000000,1361.000000,1371.099976,1355.754272,3894604
2021-03-26,1386.300049,1408.000000,1382.000000,1398.300049,1382.649902,3093766
2021-03-30,1408.000000,1428.199951,1395.550049,1423.550049,1407.617310,2801282
2021-03-31,1423.599976,1431.599976,1410.400024,1418.900024,1403.019287,2400871
2021-04-01,1432.000000,1447.849976,1420.500000,1444.599976,1428.431641,1380763
2021-04-05,1439.000000,1439.000000,1381.400024,1403.800049,1388.088379,2548649
2021-04-06,1405.900024,1416.300049,1393.300049,1401.000000,1385.319580,1824079
2021-04-07,1402.000000,1417.199951,1389.250000,1404.150024,1388.434448,1841308
2021-04-08,1410.000000,1434.800049,1410.000000,1419.150024,1403.266479,1644834
2021-04-09,1414.000000,1417.000000,1397.099976,1404.099976,1388.384888,2015002
2021-04-12,1393.949951,1393.949951,1332.000000,1345.150024,1330.094727,3755497
2021-04-13,1347.250000,1382.000000,1347.250000,1373.699951,1358.325195,2063654
2021-04-15,1378.949951,1391.099976,1358.099976,1374.650024,1359.264526,2625838
2021-04-16,1360.500000,1393.300049,1355.300049,1359.150024,1343.938110,3752588
2021-04-19,1340.000000,1346.199951,1306.000000,1310.449951,1295.783081,4157065
2021-04-20,1320.000000,1339.449951,1317.699951,1331.500000,1316.597534,2989204
2021-04-22,1310.000000,1339.500000,1307.250000,1336.800049,1321.838257,2398100
2021-04-23,1330.000000,1344.650024,1314.449951,1322.900024,1308.093750,2062964
2021-04-26,1330.050049,1341.199951,1323.000000,1335.900024,1320.948242,1431562
2021-04-27,1339.000000,1388.449951,1335.900024,1380.650024,1365.197388,4303909
2021-04-28,1384.849976,1399.949951,1372.500000,1375.900024,1360.500610,3220346
2021-04-29,1383.949951,1389.550049,1353.500000,1358.650024,1343.443604,2221346
2021-04-30,1350.000000,1365.000000,1336.099976,1340.449951,1325.447266,1968093
2021-05-03,1325.500000,1351.300049,1319.150024,1342.500000,1327.474365,1653245
2021-05-04,1350.000000,1350.900024,1331.000000,1337.599976,1322.629150,2029558
2021-05-05,1342.199951,1346.750000,1324.000000,1338.650024,1323.667480,1813150
2021-05-06,1344.000000,1356.550049,1335.750000,1339.900024,1324.903564,2333882
2021-05-07,1347.000000,1359.900024,1339.000000,1342.699951,1327.672119,2362325
2021-05-10,1347.000000,1398.849976,1347.000000,1395.000000,1379.386841,3929224
2021-05-11,1380.000000,1399.900024,1376.099976,1383.599976,1368.114380,1975828
2021-05-12,1380.000000,1425.000000,1377.000000,1385.300049,1369.795410,4283174
2021-05-14,1394.000000,1423.900024,1374.050049,1415.500000,1399.657349,4558155
2021-05-17,1433.000000,1441.000000,1368.199951,1386.750000,1371.229126,9620003
2021-05-18,1405.000000,1422.000000,1397.000000,1417.300049,1401.437256,3312380
2021-05-19,1414.000000,1435.000000,1400.000000,1403.449951,1387.742188,3215258
2021-05-20,1410.800049,1426.949951,1401.650024,1409.750000,1393.971680,1996254
2021-05-21,1415.000000,1424.699951,1407.099976,1418.050049,1402.178833,2185322
2021-05-24,1420.000000,1458.000000,1410.000000,1443.250000,1427.096802,5035538
2021-05-25,1460.000000,1461.949951,1442.099976,1450.949951,1434.710571,2892219
2021-05-26,1458.900024,1476.599976,1452.800049,1472.900024,1456.414917,3230579
2021-05-27,1475.949951,1485.000000,1461.750000,1482.849976,1466.253540,3747221
2021-05-28,1487.099976,1499.650024,1473.900024,1478.099976,1461.556641,2315923
2021-05-31,1472.300049,1476.000000,1457.550049,1467.699951,1451.273071,2405318
2021-06-01,1465.949951,1492.500000,1463.000000,1474.650024,1458.145386,2077742
2021-06-02,1468.300049,1474.599976,1455.050049,1471.050049,1454.585693,2469417
2021-06-03,1480.099976,1515.000000,1473.199951,1510.849976,1493.940186,3025466
2021-06-04,1518.949951,1547.250000,1516.900024,1537.550049,1520.341431,5677538
2021-06-07,1545.449951,1569.500000,1540.750000,1557.800049,1540.364746,3131245
2021-06-08,1561.000000,1583.000000,1546.050049,1549.150024,1531.811523,3945382
2021-06-09,1550.000000,1555.000000,1513.300049,1519.300049,1502.295654,3025732
2021-06-10,1525.000000,1534.000000,1515.000000,1519.699951,1502.691040,1584311
